"game_id","ref1","ref2","ref3","ref4","ref5","ref6","ref7"
"401671689",Carl Cheffers,Jeff Seeman,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Brandon Cruse
"401671689",Carl Cheffers,Jeff Seeman,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Brandon Cruse
"401671807",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Jabir Walker,Aaron Santi,Tripp Sutter,Dale Keller
"401671807",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Jabir Walker,Aaron Santi,Tripp Sutter,Dale Keller
"401671709",Dino Paganelli,Dyrol Prioleau,Jeff Seeman,Boris Cheek,Shawn Smith,Alex Moore,Jay Bilbo
"401671709",Dino Paganelli,Dyrol Prioleau,Jeff Seeman,Boris Cheek,Shawn Smith,Alex Moore,Jay Bilbo
"401671721",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671721",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671723",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671723",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671636",Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck,Derek Anderson
"401671636",Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck,Derek Anderson
"401671645",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671645",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671702","","","","","","",""
"401671702","","","","","","",""
"401671716",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671716",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671652",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671652",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671635",Trawick Boger,Adrian Hill,Bruce Stritesky,Greg Steed,Greg Bradley,Clay Reynard,Daniel Gallagher
"401671635",Trawick Boger,Adrian Hill,Bruce Stritesky,Greg Steed,Greg Bradley,Clay Reynard,Daniel Gallagher
"401671624",Carl Paganelli,Pat Turner,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
